ica,ingrediente,marca,empresa,,concentracion,formulacion,origen
433,TEBUCONAZOLE,TACORA 25 EW,ANASAC COLOMBIA LTDA,,250 g/L,EW,CHILE
434,PROPICONAZOL,PROPITAL 25 EC,TALANU CHEMICAL LTDA,,250 g/L,EC,CHINA
435,METSULFURON METIL,TREUX 60 WG,PHYTOCARE S.A.S,,960 g/kg,WG,CHINA
436,METALAXYL,AXIOMA 250 EC,PHYTOCARE  S.A.S,,250 g/L,EC,CHINA
437,DIURON,DIURON 800 SC PHYTOCARE,PHYTOCARE S.A.S,,"800,15 g/L",SC,CHINA
438,"HEXAZINONA,+ DIURON",HEXARON 600 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"132 g/kg,
468 g/kg",WG,"COLOMBA, ISRAEL"
439,EPOXICONAZOLE,OPUS  12.5 SC,BASF QUIMICA COLOMBIANA S.A,,125 g/L,SC,"BRASIL, ESPAÜA"
440,FOSETYL ALUMINIO,FOSETYL 80 WP PHYTOCARE,PHYTOCARE S.A.S,,800 g/kg,WP,CHINA
441,PICLORAM + 2.4-D,TROTON SL,PROFICOL ANDINA B.V SUCURSAL COLOMBIA,,"64 g/L,
240 g/L",SL,COLOMBIA
442,PROCLORAZ + TEBUCONAZOLE,SUPREME 400 EW,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"267 g/L
133 g/L",EW,"ISRAEL, COLOMBIA BRASIL"
443,FLUROXYPYR MEPTYL,TOMAHAWK  200 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,288 g/L,EC,ISRAEL COLOMBIA
444,HEXACONAZOL,HEXACONAZOL EVOFARMS 50 SC,UPL COLOMBIA S.A.S.,,54.5 g/L,SC,INDIA
445,FOSETIL - ALUMINIO,ALLEATO  80 WG,HELM ANDINA LTDA,,800 g/L,WG,"ALEMANIA, CHINA"
446,PROCHLORAZ,ELEMENT 450 EC,PHYTOCARE S.A.S,,450 g/L,EC,CHINA
447,DIMETHOMORPH,IMPETU 500 WP,ROTAM AGRO COLOMBIA S.A.S,,500 g/kg,WP,CHINA COLOMBIA
448,CLOMAZONE,BRILLANTE 480 EC,ROTAM AGRO COLOMBIA S.A.S.,,480 g/L,EC,CHINA
449,PROPICONAZOL,KYO 250 EC,PHYTOCARE S.A.S,,250 g/L,EC,CHINA
450,AMICARBAZONE,DINAMIC 70  WG,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,700 g/kg,WG,"ESTADOS UNIDOS,  BRASIL"
451,GLIFOSATO,GLYFOS 486 SL,FMC COLOMBIA S.A.S,,360 g/L,SL,DINAMARCA CHINA
452,OXADIAZON,EXIMO  38 SC,SEMBRO S.A.,,380 g/L,SC,"INDIA, CHINA"
453,BOSCALID,CUMORA SC,BASF QUIMICA COLOMBIANA S.A,,500 g/L,SC,ESPAÜA FRANCIA
454,LUFENURON,INHIBIT EVOFARMS 50 EC,UPL COLOMBIA S.A.S.,,50 g/L,EC,CHINA
455,FIPRONIL,DRACO 25 SC,ANASAC COLOMBIA LTDA,,250 g/L,SC,"CHILE, CHINA"
456,BUTACLOR,BUCHLOR 600 EC,FMC   LATINOAMERICANA S.A,,600 g/L,EC,COLOMBIA CHINA
457,CLOROTALONIL + METALAXIL-M,FOLIO GOLD 440 SC,SYNGENTA S.A,,"400 g/L
40 g/L",SC,COLOMBIA
458,METALAXYL M + MANCOZEB,RIDOMIL GOLD MZ 68 WG,SYNGENTA S.A,,"40 g/kg,
640 g/kg",WG,FRANCIA AUSTRIA
459,IMIDACLOPRID + THIODICARB,AUDAX  FS,BAYER S.A,,"150 g/L
450 g/L",FS,"GUATEMLA, ARGENTINA, ALEMANIA, BRASIL, COLOMBIA"
460,CLOMAZONE,CLIVUS  48 EC,SEMBRO S.A.,,480 g/L,EC,"CHINA,  INDIA"
461,BISPIRIBAC SODIUM,FIDUS 10 SC,SEMBRO S.A.,,100 g/L,SC,"CHINA,INDIA"
462,IPRODIONE,IPPON 500 SC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,500 g/L,SC,BELGICA
463,BYSPIRIBAC SODIUM,BYSPIRIBAC VECOL 400 SC,"EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS  S.A. - ""VECOL S.A.""",,400 g/L,SC,CHINA
464,CAPTAN,CAPTAN 480 SC PHYTOCARE,PHYTOCARE S.A.S,,480 g/L,SC,CHINA
465,KASUGAMICINA HIDROCLORURO HIDRATO,MYCIN EVOFARMS 2% SL,UPL COLOMBIA S.A.S.,,20 g/L,SL,CHINA
466,PICLORAM,PRADEMIX 240 SL,PROFICOL S.A,,240 g/L,SL,COLOMBIA
467,CLOMAZONE,JAQUE  480 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,480 g/L,EC,COLOMBIA
468,EMAMECTIN BENZOATE,PROCLAIM   05 SG,SYNGENTA S.A,,50 g/kg,SG,"ESTADOS UNIDOS, SUIZA"
469,MANCOZEB,UMBRELA  455 SC,ADAMA ANDINA B.V SUCURSAL COLOMBIA,,455 g/L,SC,COLOMBIA
470,GLIFOSATO,ROUNDUP ACTIVO,COMPAÜA AGRICOLA COLOMBIANA LTDA Y CIA S.C.A,,363 g/L,SL,COLOMBIA ARGENTINA
471,PYRACLOSTROBIN,COMET  EC,BASF QUIMICA COLOMBIANA S.A,,250 g/L,EC,BRASIL
472,MANCOZEB,MANCROP 40 SC,FMC COLOMBIA S.A.S,,400 g/L,SC,ECUADOR
473,CYPERMETHRIN,ACERRADO 20 EC,ROTAM AGRO AGROCHEMICA S.A.S.,,200 g/L,EC,"CHINA, INDIA, COLOMBIA"
474,CHLORPYRIFOS,POLYNSECT 1%,CHEMPLAST DE COLOMBIA S.A.,,1% (10g/kg),NA,GUATEMALA COLOMBIA
475,KASUGAMICINA,PUMMIN  SL,RED SURCOS COLOMBIA LTDA,,20 g/L,SL,ESPAÜA
476,CLORPIRIFOS,SILEX 75 WG,DOW AGROSCIENCES DE COLOMBIA S.A,,750 g/kg,WG,AUSTRIA
477,"PICLORAM + 2,4-D",TORMENTA 101 SL,TALANU CHEMICAL LTDA,,"64 g/L,
240 g/L",SL,CHINA
478,METRIBUZIN,MASADA  48 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,480 g/L,SC,ISRAEL COLOMBIA
479,METSULFURON METHYL,DIRVO 60 WG,SEMBRO S.A.,,600/g/Kg,WG,CHINA
480,IMAZAMOX,SWEEPER  WG,BASF QUIMICA COLOMBIANA S.A,,700 g/kg,WG,PUERTO RICO
481,PROPINEB,ANTRANEB EVOFARMS 70 WP,UPL COLOMBIA S.A.S.,,700 g/kg,WP,CHINA
482,FOSETIL ALUMINIO Y MANCOZEBC,SOLAMAX EVOFARMS 70 WP,UPL COLOMBIA S.A.S.,,"350 g/kg
350 g/kg",WP,CHINA
483,GLIFOSATO,GLYFOS 607 SL,FMC COLOMBIA S.A.S,,450 g/L,SL,DINAMARCA CHINA
484,BIFENTHRIN,BANABOL,ADAMA ANDINA B.V SUCURSAL COLOMBIA,,"0,1 p/p",BOLSA DE POLIETILEN O,COLOMBIA
485,IMAZAMOX + IMAZAPIR,EUROLIGTNING  SL,BASF QUIMICA COLOMBIANA S.A,,"33 g/L
15 g/L",SL,"ALEMANIA, PUERTO RICO"
486,GLIFOSATO,GLYFOS  768 SG,CHEMINOVA AGRO DE COLOMBIA S.A,,737.5 g/Kg,SG,"DINAMARCA,ITA LIA, CHINA"
487,"PICLORAM + 2,4-D",POTRERON 212,AGROSER  S.A,,"120 g/L
240 g/L",SL,VENEZUELA CHINA
488,"2,4-D AMINA + PICLORAM",PICLOFED SL,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,"240 g/L,
64 g/L",SL,"INDIA, COLOMBIA"
489,TEBUCONAZOLE,NUTEB  200 EC,NUFARM COLOMBIA S.A.,,200 g/L,EC,BRASIL
490,DIMETOMORPH,EBANO  500 WP,INVESA  S.A,,500 g/kg,WP,CHINA
491,DIFENOCONAZOLE,HELCORE 250 EC,HELM ANDINA LTDA,,250 g/L,EC,"INDIA, ALEMANIA, CHINA"
492,MANCOZEB + CYMOXANIL,PRECURAR  WP,INVESA  S.A,,"640 g/kg
80 g/kg",WP,INDIA
493,DIMETHOMORPH,SPHINX 500 SC,PROFICOL ANDINA  B.V SUCURSAL COLOMBIA,,500 g/L,SC,ISRAEL COLOMBIA
494,MANDIPROPAMID  + CLOROTALONIL,REVUS OPTI,SYNGENTA S.A,,"40 g/L
400 g/L",SC,COLOMBIA
495,"AMINOPYRALID + 2,4-D",TRONADOR  SL,DOW AGROSCIENCES DE COLOMBIA S.A,,"17.3 g/L,
335.8 g/L",SL,COLOMBIA
496,FENPROPIDIN,SEEKER   750 EC,SYNGENTA S.A,,750 g/L,EC,"SUIZA, COLOMBIA"
497,FIPRONIL,ALBATROSS  200 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,200 g/L,SC,COLOMBIA
498,CLETHODIM,BORRADOR 24 EC,TALANU CHEMICAL LTDA,,240 g/L,EC,CHINA
499,BUTACHLOR,HEMCLOR 600 EC,HELM ANDINA LTDA,,600 g/L,EC,ECUADOR
500,IMAZALIL,IMICIL 100 SL,TECNOQUIMICAS  S.A,,100 g/L,SL,CHINA
501,PYRIPROXYFEN,EPINGLE  EW,SUMITOMO CORPORATION COLOMBIA S.A.S,,100 g/L,EW,JAPON
502,METOMINOSTROBIN,SUMIROBIN 20 SC,SUMMIT AGRO COLOMBIA S.A.S,,202 g/L,SC,JAPON
503,CHLORANTRANILIPR OLE,CORAGEN  SC,DUPONT DE COLOMBIA S.A.,,200 g/L,SC,"ESTADOS UNIDOS, FRANCIA, BRASIL"
504,DODINE,SYLLIT  400 SC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,400 g/L,SC,BELGICA
505,BISPYRIBAC SODIUM,SHARBIS 100 SC,SHARDA COLOMBIA S.A.S,,100 g/L,SC,INDIA
506,OXADIAZON,MOISS 380 SC,PHYTOCARE S.A.S,,380 g/L,SC,CHINA
507,NICOSULFURON,NICOGAN 40 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,40 g/L,SC,COLOMBIA
508,"2,4-D +
PICLORAM",PASTICHA SL,SHARDA COLOMBIA S.A.S.,,"240 g/L
64 g/L",SL,INDIA
509,METRIBUZIN,MISTRAL  70 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,700 g/kg,WG,ISRAEL COLOMBIA
510,"FOSTYL ALUMINIUM
+ MANCOZEB",EVIDENT 70 WP,ANASAC COLOMBIA LTDA,,"335 g/kg
345 g/Kg",WP,"CHILE, CHINA"
511,CYMOXANIL + MANCOZEB,CURALANCHA WP,INTEROC S.A SUCURSAL COLOMBIA,,"80 g/kg ,
640 g/kg",WP,ECUADOR CHINA
512,GLIFOSATO,GLIFOGEN 747 SG,NUFARM COLOMBIA S.A,,680 g/kg,SG,CHINA
513,FIPRONIL,AMULET SC,BAYER S.A,,200 g/L,SC,COLOMBIA
514,FIPRONIL,SHARDIP 200 SC,SHARDA COLOMBIA S.A,,200 g/L,SC,INDIA
515,CARBENDAZIM,CARBENDAZIM VASCAL 500 SC,"COMERCIALIZADORA INTERNACIONAL  VASCAL DE COLOMBIA LTDA ""CI VASCAL LTDA""",,500 g/L,SC,CHINA
516,GLYPHOSATE,KALACH 480 SL,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,480 g/L Equivalente a 356 g/L en forma de sal,SL,CHINA COLOMBIA
517,THIOPHANA-METHYL,HELMTIOFAN 50 SC,HELM ANDINA LTDA,,500 g/L,SC,CHINA
518,DIFENOCONAZOLE,ACROSS 25 EC,TECNOQUIMICAS  S.A,,250 g/L,EC,COLOMBIA CHINA
519,EPOXICONAZOLE,SOPRANO 125 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,125 g/L,SC,COLOMBIA
520,ATRAZINE,HELZINE 500 SC,HELM ANDINA LTDA,,500 g/L,SC,ECUADOR
521,MANCOZEB,HELCOZEB 400 SC,HELM ANDINA LTDA,,400 g/L,SC,ECUADOR
522,SPIROTETRAMAT,MOVENTO OD,BAYER S.A,,150 g/L,OD,ALEMANIA COLOMBIA
523,HEXAZINONE,HEXAZINONA 75% WG SEMBRO,SEMBRO S.A.,,755 g/kg,WG,CHINA
524,"2,4-D",TRINITY  480 SL,TECNOQUIMICAS  S.A,,400 g/L,SL,"COLOMBIA
,CHINA"
525,CLOROTALONIL,CLORTAFED 500 SC,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,500 g/L,SC,"INDIA, COLOMBIA"
526,GLIFOSATO,DOGO 480 SL-DVA,DVA DE COLOMBIA LTDA,,356 g/l Equivalente a 480g en forma de sal,SL,CHINA
527,PARAQUAT DICHLORIDE,HELMOXONE  200 SL,HELM ANDINA LTDA,,276 g/L,SL,CHINA
528,SPINETORAM,EXALT 60 SC,DOW AGROSCIENCES DE COLOMBIA S.A,,60 g/L,SC,ESTADOS UNIDOS
529,PROPAMOCARB  + METALAXYL,PREDOSTAR,INTEROC S.A SUCURSAL COLOMBIA,,"100 g/kg
150 g/kg",WP,CHINA
530,CYMOXANIL + MANCOZEB,CUFIGA 80 WP,SEMBRO S.A,,"80 g/kg,
640 g/kg",WP,"INDIA , CHINA"
531,METSULFURON METHYL,FISURON WG,SEMBRO S.A,,600 g/Kg,WG,INDIA
532,PENDIMTHALIN,FIST 330 EC,UPL COLOMBIA S.A.S.,,330 g/L,EC,INDIA
533,FIPRONIL,CATEO  20 SC,TECNOQUIMICAS  S.A,,200 g/L,SC,CHINA COLOMBIA
534,GLYPHOSATE,CLEAROUT 480 SL,DEWRENEW INTERNATIONAL CORPORATION S.A.S.,,356 g/l Equivalente a 480g en forma de sal,SL,CHINA
535,PROPINEB,KEMURAK  70 WP,INVESA  S.A,,700 g/kg,WP,CHINA
536,CLOROTALONIL,HORTYL  720 SC,AGRIPHAR DE COLOMBIA S.A.S,,720 g/L,SC,BELGICA
537,DIMETHOMORPH,VERSUS 50 WP,PHYTOCARE S.A.S,,500 g/kg%,WP,CHINA
538,"2,4-D",TRINITY  720 SL,TECNOQUIMICAS  S.A,,600 g/L,SL,CHINA COLOMBIA
539,METHOMYL,VOLKAR ,DUWEST COLOMBIA S.A.S,,400 g/kg,SP,TAILANDIA INDONESIA
540,CLOMAZONE,GAMIT STAR,FMC   LATINOAMERICANA S.A,,800 g/L,EC,BRASIL
541,DIFENOCONAZOLE,SHARDIF 250 EC,SHARDA COLOMBIA S.A,,250 g/L,EC,INDIA
542,AZOXISTROBIN,AZOSHY 25% SC,SHARDA COLOMBIA S.A,,250 g/L,SC,INDIA
543,PROPINEB + CIMOXANIL,FITOROC,INTEROC S.A SUCURSAL COLOMBIA,,"700 g/kg,
60 g/kg",WP,ECUADOR
544,PROPICONAZOLE,PROPICONAZOLE WOHL 250 EC,WOHL LTDA  C.I,,250 g/L,EC,CHINA
545,GLIFOSATO,GLIFOSATO WOHL 480 SL,WOHL LTDA  C.I,,356 g/l Equivalente a 480g en forma de sal,SL,CHINA
546,PICLORAM,HUASO 24 SL,ANASAC COLOMBIA LTDA,,240 g/L,SL,"CHINA, CHILE"
547,IPROBENFOS,KIFOS EVOFARMS 48 EC,UPL COLOMBIA S.A.S.,,480 g/L,EC,CHINA
548,PICLORAM + METSULFURON METHYL,SOCIO ,INVESA  S.A,,"240 g/L
600 g/kg","(SL)
(WC)",COLOMBIA
549,KRESOXIM METIHYL,ARDENT 500 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,500 g/L,SC,COLOMBIA
550,GLUFOSINATE- AMMONIUM,BURNER  150 SL,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,150 g/L,SL,"CHINA, INDIA, COLOMBIA"
551,PENDIMETHALIN,UNDALINA,UNDAGRO S.A.,,330 g/L,EC,CHINA
552,LUFENURON,LUFENURON VECOL 50 EC,VECOL S.A,,50 g/kg,EC,CHINA
553,CLOMAZONE,CLOMAZONE VECOL 480 EC,VECOL S.A,,480 g/L,EC,CHINA
554,MANCOZEB,GENCOZEB 80% WP,GENBRA DE COLOMBIA LTDA,,800 g/kg,WP,INDIA
555,METSULFURON METHYL,METSULFURON METIL 60% WG -DVA,DVA DE COLOMBIA LTDA,,600 g/kg,WG,CHINA
556,CLOMAZONE,COMMAND STAR,FMC   LATINOAMERICANA S.A,,800 g/L,EC,BRASIL
557,MANCOZEB,PROTECTA ,DUWEST COLOMBIA S.A.S,,750 g/kg,WG,COLOMBIA
558,CYMOXANIL + FAMOXADONE,PROFAST ,DUWEST COLOMBIA S.A.S,,"300 g/kg
225 g/kg",WG,FRANCIA
559,OXADIAZON,NUXADIAZON   250 EC,NUFARM COLOMBIA S.A,,250 g/L,EC,CHINA
560,"PICLORAM   + 2,4-D",TORAM  SL,NUFARM COLOMBIA S.A,,"64 g/L
240 g/L",SL,CHINA
561,BISPIRIBAC SODIUM,STARBAC SC,RED SURCOS COLOMBIA LTDA,,100 g/L,SC,ESPAÜA
562,FENAZAQUIN,MAGISTER 200 SC,"MAYORISTAS  AGRICOLAS
S.A  MAGRO S.A",,200 g/L,SC,FRANCIA
563,BISTRYBAC-SODIUM,CLICK 40 SC,PHYTOCARE S.A.S,,400 g/k,SC,CHINA
564,OXADIAZON,MOISS 250 EC,PHYTOCARE  S.A.S,,250 g/L,EC,CHINA
565,TEBUCONAZOLE,ZAGA 430 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,430 g/L,SC,COLOMBIA
566,GLIFOSATO,RAZOR 480 SL,IMCOLVET LTDA,,356g/lt equivalente a 480 g/lt en forma de sal,SL,ECUADOR
567,"CHOLOROTHALONIL
+ CYMOXANIL",CENTURY,INTEROC S.A SUCURSAL COLOMBIA,,"720 g/kg
80 g/kg",WP,ECUADOR
568,CLOMAZONE,CLOMAZONE 480 EC PHYTOCARE,PHYTOCARE S.A.S,,480 g/L,EC,CHINA
569,DIMETHOMORPH,MINERVA  50 WP,TECNOQUIMICAS  S.A,,500 g/kg,WP,CHINA
570,BISPYRIBAC-SODIUM,GLISTEC  400 SC,TECNOQUIMICAS  S.A,,400 g/L,SC,CHINA COLOMBIA
571,METSULFURON - METHYL,FURAX  600 WG,GENFAR S.A.,,600 g/kg,WG,CHINA
572,DIMETOMORF,VIATOMORF 500 WP,VENDEDORA DE INSUMOS AGROPECUARIOS S.A. VIA S.A,,500 g/kg,WP,CHINA
573,FIPRONIL,FIPROX 200 SC,UPL COLOMBIA S.A.S.,,200 g/L,SC,CHINA
574,CIPERMETHRIN,CIPERMETRINA VASCAL 20 EC,C.I. VASCAL LTDA,,200 g/L,EC,CHINA
575,FIPRONIL,FIPROX 80 WG,UPL COLOMBIA S.A.S.,,800 g/kg,WG,CHINA
576,CLOROTALONIL,BANKO   ,ARYSTA LIFESCIENCE COLOMBIA S.A.,,720 g/L,SC,"FRANCIA, CHINA"
577,FOSETYL-ALUMINIUM,FOSETYL ALUMINIO AGRICENSE WP,AGRICENSE LTDA,,800 g/kg,WP,ESPAÜA
578,FOSETYL-ALUMINIUM,RADICAL 80 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,800 g/kg,WG,ISRAEL
579,THIAMETOXAM,ACT UP,INTEROC S.A SUCURSAL COLOMBIA,,250 g/kg,WG,INDIA ECUADOR
580,EPOXICONAZOLE,NUPOXYN  125 SC,NUFARM COLOMBIA S.A.,,125 g/L,SC,CHINA
581,"2,4 -D",AGRO 2-4  ,PALMAGAN DE LA COSTA S EN C,,480 g/L,SL,COLOMBIA
582,CLOMAZONE,REACTOR 480 EC,FMC COLOMBIA S.A.S,,480 g/L,EC,DINAMARCA
583,METSULFURON- METHYL,ACCURATE  60 WG,FMC COLOMBIA S.A.S,,600 g/kg,WG,"INDIA, ALEMANIA
, CHINA"
584,"2,4 D PICLORAM",CORDIAL  SL,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,"240 g/L
64 g/L",SL,"BRASIL,SOUTH AFRICA"
585,HEXAZINONE DIURON,SESAMO  WG,ARYSTA LIFESCIENCE COLOMBIA S.A.,,"132 g/kg
468 g/kg",WG,"BRASIL, SOUTH AFRICA"
586,CYMOXANIL+ MANCOZEB,CYMOXANIL+ MANCOZEB  AGRICENSE WP,AGRICENSE LTDA,,"80 g/kg,
640 g/kg",WP,"ESPAÜA, CHINA"
587,DIURON,PENCAL  WG,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,800 g/ kg,WG,"BRASIL,SUR AFRICA, CHINA"
588,PROPICONAZOLE,BLOHE 25 EC,TECNOQUIMICAS  S.A,,250 g/L,EC,COLOMBIA CHINA
589,PARAQUAT,CERRERO  200  SL,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,200 g/L,SL,COLOMBIA
590,AMETRYN,AMETRINA 80% WG SEMBRO,SEMBRO S.A.,,830 g/kg,WG,CHINA
591,"2,4-D ACIDO",HERBINA 720 SL,LABORATORIOS CHALVER DE COLOMBIA S.A,,720 g/L,SL,COLOMBIA
592,CYFLUMETOFEN,DANISARABA 20 SC,SUMMIT AGRO COLOMBIA SAS,,200 g/L,SC,JAPON
593,METSULFURON METIL,FURONMETIL  60 WG,LABORATORIOS CHALVER DE COLOMBIA S.A,,600 g/kg,WG,CHINA COLOMBIA
594,"2,4 D +  PICLORAM",LEÜADOR  304 SL,GENFAR S.A.,,"240 g/L,
64 g/L",SL,CHINA COLOMBIA
595,CLOMAZONE + CARFENTRAZONE ETHYL,SPOTLIGHT 630 EC,FMC   LATINOAMERICANA S.A,,"600 g/L
30 g/L",EC,BRASIL
596,METSULFURON - METHYL,EMBOSCADA WG,AGROSER  S.A,,600 g/kg,WG,"VENEZUELA
, INDIA, CHINA"
597,"2,4 D",MALEZAMINA  480 SL,GENFAR S.A.,,400g/lt Equivale a 480g/lt en forma de sal,SL,CHINA COLOMBIA
598,CYMOXANIL Y MANCOZEB,DOUFUN 72 WP,LABORATORIOS CHALVER DE COLOMBIA S.A,,"80 g/kg,
640 g/kg",WP,COLOMBIA
599,MANCOZEB,MACOZ   80 WP,LABORATORIOS CHALVER DE COLOMBIA S.A,,800 g/kg,WP,COLOMBIA
600,TETRADIFON,THERON 80 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,80 g/L,EC,CHINA COLOMBIA
601,TRIDEMORPH,BANANIN 860 OL,HELM ANDINA LTDA,,860 g/L,OL,COSTA RICA CHINA
602,GLIFSATO,KEMADOR 480 SL,GENFAR S.A.,,356 g/l equivalente a 480g/l en forma de sal,SL,CHINA COLOMBIA
603,PICLORAM + METSULFURON METHYL,RASURA 840,LABORATORIOS CHALVER DE COLOMBIA S.A,,"240 g/L
600 g/kg",SL WG,COLOMBIA
604,FLUFENZINE (SZ1- 121),FLUMITE,INTEROC S.A SUCURSAL COLOMBIA,,200 g/L,SC,HUNGRIA ECUADOR
605,OXADIAZON,OXADIARROZ 250 EC,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,250 g/L,EC,CHINA
606,IMIDACLOPRID,ANDIPRID 350 SC,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,350 g/L,SC,CHINA
607,ABAMECTIN,ZORO 1.8 EW,FMC COLOMBIA S.A.S,,18 g/L,EW,DINAMARCA
608,GLYPHOSATE,SHYFO 480 SL,SHARDA COLOMBIA S.A.S,,365g/L equivalente a 480g/L en forma de sal,SL,INDIA
609,TRICYCLAZOL,NOVA 75 WP,ROTAM AGRO COLOMBIA S.A.S,,750 g/kg,WP,CHINA
610,CYHALOFOP-BUTIL,STATUS 180 EC,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,180 g/L,EC,"CHINA,COLOMBI A, TAIWAN"
611,LUFENURON,FORSA 50 EC,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,50 g/L,EC,CHINA
612,CYROMAZINE,HELGARD 75 WP,HELM ANDINA LTDA,,750 g/kg,WP,CHINA
613,"2,4 D dimethylamine
salt 720",MALEZAMINA  720SL,GENFAR S.A.,,598 g/L,SL,CHINA COLOMBIA
614,CLOROTALONIL,CLORTANIL 720 SC,LABORATORIOS CHALVER DE COLOMBIA S.A,,720 g/L,SC,COLOMBIA
615,IMIDACLOPRID,MIDALON  350 SC,LABORATORIOS CHALVER DE COLOMBIA S.A,,350 g/L,SC,COLOMBIA
616,"2,4 D",AMINA WOHL 480 SL,WOHL LTDA  C.I,,480g/l Equivalente a 578g/lt en forma de sal,SL,CHINA
617,CHLORFENAPYR,FIRE LINE 240 SC,TECNOQUIMICAS  S.A,,240 g/L,SC,CHINA COLOMBIA
618,DIFENOCONAZOLE,DIFENOFED 25 EC,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,250 g/lL,EC,"COLOMBIA
,CHINA , INDIA"
619,IPRODIONE + PYRIMETHANIL,ANKER 500 SC,QUIMICOS OMA S.A,,"250 g/L
250 g/L",SC,COLOMBIA CHINA
620,PROPANIL,PROPAGEN  480 EC,NUFARM COLOMBIA S.A.,,480 g/L,EC,VENEZUELA
621,METHOMYL,BRIGHT  90 SP,TECNOQUIMICAS  S.A,,900 g/kg,SP,CHINA
622,CYHALOFOP- BUTIL,DESAFIO EC,AGROSER  S.A,,180 g/L,EC,VENEZUELA CHINA
623,PROCHLORAZ,PILZERAZ  45 EC,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,450 g/L,EC,CHINA COLOMBIA
624,BISPYRIBAC SODIUM,ARROPRON 100 SC,LABORATORIOS CHALVER DE COLOMBIA S.A,,100 g/L,SC,COLOMBIA CHINA
625,AZOXYSTROBIN,XSTRATA 250  SC,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,250 g/L,SC,CHINA COLOMBIA
626,"ACIDO 2,4 D   + PICLORAM",MELETREPO 304 SL,LABORATORIOS CHALVER DE COLOMBIA S.A,,"240 g/L
64 g/L",SL,COLOMBIA
627,PROCHLORAZ,CLOCEF  450 EC,TECNOQUIMICAS  S.A,,450 g/L,EC,CHINA COLOMBIA
628,KASUGAMYCIN,KAZUGAL 20 SL,QUIMICOS OMA S.A,,20 g/L,SL,COLOMBIA CHINA
629,DIFECONAZOL + KRESOXIM-METHYL,PATRULLA 375 SC,QUIMICOS OMA S.A,,"125 g/L
250 g/L",SC,COLOMBIA CHINA
630,BISPIRIBAC - SODIUM,BISPIRIRROZ 100 SC,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,100 g/L,SC,CHINA
631,TEBUCONAZOLE,TEBUCUR 250 EC,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,250 g/L,EC,CHINA
632,ABAMECTIN,"ACAROTAL 1,8 EC",TALANU CHEMICAL LTDA,,18 g/L,EC,CHINA
633,DIURON,DIURON YASER 80% WG,YASER S.A.S,,80 g/kg,WG,CHINA
634,BENOMYL,BENOFUNG 500 WP,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,500 g/L,WP,CHINA
635,GLIFOSATO,GLIFOCIDA 480 SL,LABORATORIOS CHALVER DE COLOMBIA S.A,,355 g/lL equivalente a 480g/lt en forma de sal,SL,COLOMBIA
636,PARAQUAT,MULTIQUAT 200 SL,LABORATORIOS CHALVER DE COLOMBIA S.A,,200 g/L,SL,COLOMBIA
637,CLOMAZONE,CLANKER EC,AGROSER  S.A,,480 g/L,EC,"VENEZUELA
,INDIA ,CHINA"
638,IPRODIONE,HELICAL 500 SC,TECNOQUIMICAS  S.A,,500 g/L,SC,COLOMBIA CHINA
639,ABAMECTINA,"KRAFT 3,6 EC",FMC COLOMBIA S.A.S,,36 g/L,EC,DINAMARCA
640,FIPRONIL,FIPROFED 200 SC,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,200 g/L,SC,"COLOMBIA , INDIA"
