ica,ingrediente,marca,empresa,,concentracion,formulacion,origen
80,PENDIMETALINA,PENDIMETALINA TRUST 400 EC,TRUST QUIMICA S.A.S.,,400 g/L,EC,CHINA
81,CARBENDAZIM,CARBENDAZIM 500 SC AGRICENSE,AGRICENSE LTDA,,500 g/L,SC,"INGLATERRA, CHINA"
82,CARBENDAZIM,CARBENDAZIM 50 WP,AGRICENSE LTDA,,500 g/kg,WP,INGLATERRA
83,FOSETYL ALUMINIUM,FOSETYL AGROGEN  800 WP,NUFARM COLOMBIA S.A,,800 g/L,WP,CHINA
84,MANCOZEB,PILARZEB 80 WP,PILARQUIM DE COLOMBIA LTDA,,80%,WP,SHANGHAI REP-CHINA
85,METSULFURON METIL,METSURAM 200 WG,ROTAM  AGROCHEMICAL COLOMBIA LTDA,,200 g/kg,WG,CHINA
86,ABAMECTINA,VIMEC 1.8 EC,VICAR DE COLOMBIA S.A.,,18 g/L,EC,ESPAÜA
87,METHOMYL,LASH  216 SL,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,216 g/L,SL,TAIWAN
88,PENDIMETALINA,SPECTRO 40 EC,ANASAC COLOMBIA LTDA,,400 g/L,EC,"CHILE, CHINA"
89,GAMMA CYHALOTHRINA,PROAXIS 60 CS,FMC COLOMBIA S.A.S,,60 g/L,CS,"CHINA, INDIA"
90,,,,,,,
91,DIFENOCONAZOLE,BANAGEN  250 EC,NUFARM COLOMBIA S.A,,250 g/L,EC,CHINA
92,METALAXIL + MANCOZEB,MILOR 72 WP,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,"80 g/kg
640 g/kg",WP,REPUBLICA DE CHINA
93,CLOMAZONE,DAKOTA 48 EC,ANASAC COLOMBIA LTDA,,480 g/L,EC,"CHILE,  CHINA"
94,METRIBUZINA,DANIR 48 SC,ANASAC COLOMBIA LTDA,,480 g/L,SC,"CHILE, CHINA"
95,CARBENDAZIM,CARBENDAZIM 500 SC PHYTOCARE,PHYTOCARE  S.A.S,,500 g/L,SC,CHINA
96,BOSCALID,CANTUS  WG,BASF QUIMICA COLOMBIANA S.A,,500 g/kg,WG,"ALEMANIA, BRASIL"
97,PYRAZOSULFURON ETIL,PAPYRUS 100 WP,ROTAN AGRO COLOMBIA S.A.S,,100 g/kg,WP,CHINA
98,PENOXSULAM,BENGALA 25 OD,DOW AGROSCIENCES DE COLOMBIA S.A,,"25 g/L
10 g/L",OD,USA
99,BUTACLOR,BUTYL 600 EC,TECNOQUIMICAS  S.A,,600 g/L,EC,CHINA
100,CARBOXIN + THIRAM,SAAT MUSIC 400 FS,SAAT ANDINA S.A.,,"200 g/L
,200 g/L",FS,REPUBLICA DE CHINA
101,IMIDACLOPRID,SAAT DANZA 70 WS,SAAT ANDINA S.A.,,70%,WS,CHINA
102,IMIDACLOPRID,IMAXI  350 SC,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,350 g/L,SC,CHINA
103,BISPYRIBAC SODIUM,GLISTEC 100  SC,TECNOQUIMICAS  S.A,,100 g/L,SC,CHINA COLOMBIA
104,,,,NO EXISTE EN LA BASE DE DATOS,,,
105,MANCOZEB + CYMOXANIL,MANCOXANIL AGROGEN 720 WP,NUFARM COLOMBIA S.A,,"64% g/kg
8% g/kg",WP,CHINA
106,SPIROXAMINA,IMPULSE  EC 800,BAYER S.A,,800 g/L,EC,COLOMBIA
107,METSULFURON METIL,ATAFURIN  60 WG,TECNOQUIMICAS  S.A,,600 g/kg,WG,CHINA
108,METALAXIL + MANCOZEB,DILIGENT  720 WP,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,80 - 640 g/kg,WP,CHINA
109,LAMBDA CIHALOTRINA,GOLPE 50 EC,ANASAC COLOMBIA LTDA,,50 g/L,EC,CHILE
110,MANCOZEB + CIMOXANIL,PERSIST* 500 SC,DOW AGROSCIENCES DE COLOMBIA S.A,,"462 g/lL,
63,4 g/L",SC,"COLOMBIA, BRASIL"
112,BISPYRIBAC SODIO,EVOPYR 100 SC,UPL COLOMBIA S.A.S.,,100 g/L,SC,CHINA
113,METSULFURON METIL,METSULFED 60 WG,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,600 g/kg,WG,"ESPAÜA, CHINA, INDIA, COLOMBIA"
114,IMIDACLOPRID,EVOPRID 35 SC,UPL COLOMBIA S.A.S.,,350 g/L,SC,"CHINA, REINO UNIDO"
115,MANCOZEB,MANCOZEB VECOL 80% WP,VECOL S.A,,800 g/kg,WP,CHINA
116,ETRIDIAZOLE,TERRAZOLE 35% WP,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,350 g/kg,WP,ESTADOS UNIDOS CANADA
117,METSULFURON METIL,ROMETSOL  600 WG,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,600 g/kg,WG,CHINA
118,OXADIAZON,OXATOP  250 EC,ROTAM AGRO COLOMBIA S.A.A.,,250 g/L,EC,CHINA
119,OXADIAZON,OXATOP 380 SC,ROTAM AGRO COLOMBIA S.A.S,,380 g/L,SC,CHINA
120,GLIFOSATO,ESTELARé 648 SL,DOW AGROSCIENCES DE COLOMBIA S.A,,648 g/L,SL,COLOMBIA
121,METSULFURON METIL,MET-MET 600 WG,UPL COLOMBIA S.A.S.,,600 g/kg,WG,"CHINA, REINO UNIDO"
122,CLETHODIM,ARROW 240 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,240 g/L,EC,COLOMBIA
123,CARBOXIN THIRAM,CARBOVAX  TS,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,"200 g/L
,200 g/L",FS,ESTADOS UNIDOS CANADA
124,CARBOXIN + THIRAM,CARBOVAX,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,"200 g/L
200 g/L",SC,ESTADOS UNIDOS CANADA
125,SPINOSAD,SUCCESS GF-120é 0.02 CB,DOW AGROSCIENCES DE COLOMBIA S.A,,0.24 g/L,CB,USA
126,METSULFURON METIL,METSULFEX 60 WG,CIBOCHEM S.A.S,,60%,WG,ESPAÜA
127,CLETHODIM,ARROW  120 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,120 g/L,EC,COLOMBIA
128,ABAMECTINA,ACARAMIK  1.8 EC,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,18 g/L,EC,CHINA
129,METSULFURON METIL,METSULFURON VECOL 60% WG,VECOL S.A,,600 g/kg,WG,CHINA
130,OXADIAZON,EVOXON 38 SC,UPL COLOMBIA S.A.S.,,380 g/L,SC,CHINA
