ica,ingrediente,marca,empresa,concentracion,formulacion,origen
14-10-2015/ 3659,GLIFOSATO,CREDIT MULTI®,NUFARM COLOMBIA S.A,540 g/L,SL,BRASIL
20-10-2015/ 3754,GLIFOSATO,"ARRASADOR INTEROC
CUSTER","INTEROC S.A SUCURSAL
COLOMBIA",757 g/Kg,SG,"ECUADOR
CHINA"
20-11-2015/ 638,GLIFOSATO,GLIFOSATO 480 SL MEZFER,MEZFER DE COLOMBIA LTDA,480 g/L,SL,CHINA
14-12-2015/ 2582,GLIFOSATO,GLIFOSATO DEL MONTE® 747 SG,DEL MONTE AGROSCIENCES S.A.S,747 g/L,SG,CHINA
25-05-2016/ 6090,GLIFOSATO,GENGLIX 480 SL,CAMPO CIENCIA AGRO S.A.S,360 g/L,SL,CHINA
29-12-2015/ 4168,GLIFOSATO,GENGUX® 747 SG,CAMPO CIENCIA AGRO S.A.S,747 g/Kg,SG,CHINA
08-03-2016/ 2321,GLIFOSATO,PANZER® EKO SL,INVESA S.A,360 g/L,SL,COLOMBIA
14-03-2016/ 2369,GLIFOSATO,DOGO 75.7 SG-DVA,DVA DE COLOMBIA LTDA,730 g/Kg,SG,CHINA
02-05-2016/ 4796,GLIFOSATO ACIDO,PANZER® K SL,INVESA S.A,360 g/L,SL,COLOMBIA
07-09-2016/ 11519,GLIFOSATO,GLIFOSATO NUFARM 747 SG,NUFARM COLOMBIA S.A,680 g/Kg,SG,CHINA
31-10-2016/ 15252,GLIFOSINATO DE AMONIO,EREDASINATO 15 SL,EREDA S.A.S,150 g/L,SL,CHINA
11-03-2017/ 2677,GLIFOSATO,FANATIC®SL,ISAGRO COLOMBIA S.A.S,480 g/L,SL,CHINA
28-03-2017/ 3458,GLIFOSATO SAL AMINA,GLIFOSATO 757 WG BIESTERFELD,BIESTERFELD COLOMBIA LTDA,757g/Kg,WG,CHINA
03-04-2017/ 3735,GLIFOSATO,KAISER 480 SL,RAINBOW AGROSCIENCES S.A.S,356 g/L,SL,CHINA
05-06-2017/ 6730,GLIFOSATO,GLIFOSATO DICSAS 75.7 SG,DEWRENEW INTERNATIONAL CORPORATION S.A.S.,757 g/Kg,SG,CHINA
14-12-2017/ 17282,GLIFOSATO,HELOSATE 757 SG,HELM ANDINA LTDA,757 g/Kg,SG,CHINA
28/09/2017/11867,GLIFOSATO,GLYFOLASER 480 SL,LASERNA & CIA SAS,480 g/l,SL,CHINA
27-03-2015/ 1007,CARFENTRAZONE- ETHYL + GLIFOSATO,ABROAD®EW,FMC LATINOAMERICA S.A,12 g/L  444.6 g/L,EW,COLOMBIA BRASIL
